time, data
86.87, 1.1895
86.87, 1.1895
86.887, 1.1895
86.904, 1.1895
86.904, 1.1895
86.921, 1.1895
86.921, 1.1895
86.938, 1.1895
86.955, 1.1895
86.955, 1.1895
86.972, 1.1895
86.988, 1.1895
86.988, 1.1895
87.004, 1.1895
87.021, 1.1895
87.021, 1.1895
87.038, 1.1895
87.038, 1.1895
87.055, 1.1895
87.072, 1.1895
87.072, 1.1895
87.088, 1.1895
87.104, 1.1895
87.104, 1.1895
87.121, 1.1895
87.137, 1.1895
87.137, 1.1895
87.153, 1.1895
87.171, 1.1895
87.171, 1.1895
87.189, 1.1895
87.206, 1.1895
87.206, 1.1895
87.223, 1.1895
87.24, 1.1895
87.24, 1.1895
87.257, 1.1895
87.274, 1.1895
87.274, 1.1895
87.291, 1.1895
87.308, 1.1895
87.308, 1.1895
87.325, 1.1895
87.342, 1.1895
87.342, 1.1895
87.359, 1.1895
87.359, 1.1895
87.376, 1.1895
87.393, 1.1895
87.41, 1.1895
87.41, 1.1895
87.427, 1.1895
87.427, 1.1895
87.444, 1.1895
87.461, 1.1895
87.461, 1.1895
87.478, 1.1895
87.495, 1.1895
87.495, 1.1895
87.512, 1.1895
87.529, 1.1895
87.529, 1.1895
87.546, 1.1895
87.546, 1.1895
87.563, 1.1895
87.58, 1.1895
87.58, 1.1895
87.597, 1.1895
87.614, 1.1895
87.614, 1.1895
87.631, 1.1895
87.648, 1.1895
87.648, 1.1895
87.665, 1.1895
87.682, 1.1895
87.682, 1.1895
87.699, 1.1895
87.716, 1.1895
87.716, 1.1895
87.733, 1.1895
87.733, 1.1895
87.75, 1.1895
87.767, 1.1895
87.767, 1.1895
87.784, 1.1895
87.801, 1.1895
87.801, 1.1895
87.818, 1.1895
87.835, 1.1895
87.835, 1.1895
87.852, 1.1895
87.869, 1.1895
87.869, 1.1895
87.885, 1.1895
87.901, 1.1895
87.901, 1.1895
87.918, 1.1895
87.935, 1.1895
87.935, 1.1895
87.952, 1.1895
87.969, 1.1895
87.969, 1.1895
87.986, 1.1895
88.003, 1.1895
88.003, 1.1895
88.02, 1.1895
88.037, 1.1895
88.037, 1.1895
88.054, 1.1895
88.071, 1.1895
88.071, 1.1895
88.088, 1.1895
88.088, 1.1895
88.105, 1.1895
88.122, 1.1895
88.122, 1.1895
88.139, 1.1895
88.156, 1.1895
88.156, 1.1895
88.173, 1.1895
88.19, 1.1895
88.19, 1.1895
88.207, 1.1895
88.207, 1.1895
88.224, 1.1895
88.24, 1.1895
88.24, 1.1895
88.257, 1.1895
88.274, 1.1895
88.274, 1.1895
88.291, 1.1895
88.308, 1.1895
88.308, 1.1895
88.325, 1.1895
88.342, 1.1895
88.342, 1.1895
88.359, 1.1895
88.376, 1.1895
88.376, 1.1895
88.393, 1.1895
88.41, 1.1895
88.41, 1.1895
88.427, 1.1895
88.444, 1.1895
88.444, 1.1895
88.461, 1.1895
88.478, 1.1895
88.478, 1.1895
88.495, 1.1895
88.512, 1.1895
88.512, 1.1895
88.529, 1.1895
88.529, 1.1895
88.546, 1.1895
88.563, 1.1895
88.563, 1.1895
88.579, 1.1895
88.596, 1.1895
88.596, 1.1895
88.613, 1.1895
88.63, 1.1895
88.63, 1.1895
88.647, 1.1895
88.647, 1.1895
88.664, 1.1895
88.681, 1.1895
88.681, 1.1895
88.698, 1.1895
88.715, 1.1895
88.715, 1.1895
88.732, 1.1895
88.749, 1.1895
88.749, 1.1895
88.766, 1.1895
88.783, 1.1895
88.8, 1.1895
88.817, 1.1895
88.817, 1.1895
88.817, 1.1895
88.834, 1.1895
88.851, 1.1895
88.851, 1.1895
88.868, 1.1895
88.885, 1.1895
88.885, 1.1895
88.902, 1.1895
88.919, 1.1895
88.919, 1.1895
88.936, 1.1895
88.936, 1.1895
88.953, 1.1895
88.97, 1.1895
88.97, 1.1895
88.987, 1.1895
89.004, 1.1895
89.004, 1.1895
89.021, 1.1895
89.038, 1.1895
89.038, 1.1895
89.055, 1.1895
89.072, 1.1895
89.072, 1.1895
89.089, 1.1895
89.106, 1.1895
89.106, 1.1895
89.123, 1.1895
89.14, 1.1895
89.14, 1.1895
89.157, 1.1895
89.174, 1.1895
89.174, 1.1895
89.191, 1.1895
89.191, 1.1895
89.208, 1.1895
89.225, 1.1895
89.225, 1.1895
89.242, 1.1895
89.259, 1.1895
89.259, 1.1895
89.276, 1.1895
89.292, 1.1895
89.292, 1.1895
89.308, 1.1895
89.325, 1.1895
89.325, 1.1895
89.342, 1.1895
89.342, 1.1895
89.359, 1.1895
89.376, 1.1895
89.376, 1.1895
89.393, 1.1895
89.41, 1.1895
89.41, 1.1895
89.426, 1.1895
89.442, 1.1895
89.442, 1.1895
89.459, 1.1895
89.476, 1.1895
89.476, 1.1895
89.493, 1.1895
89.51, 1.1895
89.51, 1.1895
89.527, 1.1895
89.544, 1.1895
89.544, 1.1895
89.561, 1.1895
89.578, 1.1895
89.578, 1.1895
89.595, 1.1895
89.595, 1.1895
89.612, 1.1895
89.629, 1.1895
89.646, 1.1895
89.646, 1.1895
89.662, 1.1895
89.679, 1.1895
89.679, 1.1895
89.696, 1.1895
89.696, 1.1895
89.713, 1.1895
89.73, 1.1895
89.73, 1.1895
89.746, 1.1895
89.763, 1.1895
89.763, 1.1895
89.78, 1.1895
89.78, 1.1895
89.797, 1.1895
89.814, 1.1895
89.814, 1.1895
89.831, 1.1895
89.848, 1.1895
89.848, 1.1895
89.865, 1.1895
89.882, 1.1895
89.882, 1.1895
89.899, 1.1895
89.916, 1.1895
89.916, 1.1895
89.932, 1.1895
89.949, 1.1895
89.949, 1.1895
89.966, 1.1895
89.984, 1.1895
89.984, 1.1895
90.001, 1.1895
90.018, 1.1895
90.018, 1.1895
90.035, 1.1895
90.052, 1.1895
90.052, 1.1895
90.069, 1.1895
90.086, 1.1895
90.086, 1.1895
90.103, 1.1895
90.103, 1.1895
90.12, 1.1895
90.137, 1.1895
90.137, 1.1895
90.154, 1.1895
90.17, 1.1895
90.17, 1.1895
90.187, 1.1895
90.204, 1.1895
90.204, 1.1895
90.221, 1.1895
90.238, 1.1895
90.238, 1.1895
90.255, 1.1895
90.255, 1.1895
90.272, 1.1895
90.289, 1.1895
90.289, 1.1895
90.305, 1.1895
90.322, 1.1895
90.322, 1.1895
90.339, 1.1895
90.356, 1.1895
90.356, 1.1895
90.372, 1.1895
90.389, 1.1895
90.389, 1.1895
90.406, 1.1895
90.423, 1.1895
90.423, 1.1895
90.44, 1.1895
90.457, 1.1895
90.457, 1.1895
90.474, 1.1895
90.491, 1.1895
90.491, 1.1895
90.508, 1.1895
90.508, 1.1895
90.525, 1.1895
90.542, 1.1895
90.542, 1.1895
90.559, 1.1895
90.576, 1.1895
90.576, 1.1895
90.593, 1.1895
90.61, 1.1895
90.61, 1.1895
90.627, 1.1895
90.643, 1.1895
90.643, 1.1895
90.66, 1.1895
90.677, 1.1895
90.677, 1.1895
90.694, 1.1895
90.711, 1.1895
90.711, 1.1895
90.728, 1.1895
90.728, 1.1895
90.745, 1.1895
90.762, 1.1895
90.762, 1.1895
90.779, 1.1895
90.796, 1.1895
90.796, 1.1895
90.813, 1.1895
90.83, 1.1895
90.83, 1.1895
90.847, 1.1895
90.864, 1.1895
90.864, 1.1895
90.881, 1.1895
90.898, 1.1895
90.898, 1.1895
90.915, 1.1895
90.915, 1.1895
90.932, 1.1895
90.949, 1.1895
90.949, 1.1895
90.966, 1.1895
90.983, 1.1895
90.983, 1.1895
91, 1.1895
91.017, 1.1895
91.017, 1.1895
91.034, 1.1895
91.051, 1.1895
91.051, 1.1895
91.068, 1.1895
91.085, 1.1895
91.085, 1.1895
91.101, 1.1895
91.118, 1.1895
91.118, 1.1895
91.135, 1.1895
91.152, 1.1895
91.152, 1.1895
91.169, 1.1895
91.186, 1.1895
91.186, 1.1895
91.203, 1.1895
91.22, 1.1895
91.22, 1.1895
91.237, 1.1895
91.237, 1.1895
91.254, 1.1895
91.271, 1.1895
91.271, 1.1895
91.288, 1.1895
91.305, 1.1895
91.305, 1.1895
91.322, 1.1895
91.339, 1.1895
91.339, 1.1895
91.356, 1.1895
91.356, 1.1895
91.373, 1.1895
91.39, 1.1895
91.39, 1.1895
91.407, 1.1895
91.424, 1.1895
91.424, 1.1895
91.441, 1.1895
91.458, 1.1895
91.458, 1.1895
91.475, 1.1895
91.492, 1.1895
91.492, 1.1895
91.509, 1.1895
91.526, 1.1895
91.526, 1.1895
91.543, 1.1895
91.559, 1.1895
91.559, 1.1895
91.576, 1.1895
91.592, 1.1895
91.592, 1.1895
91.609, 1.1895
91.626, 1.1895
91.626, 1.1895
91.642, 1.1895
91.659, 1.1895
91.659, 1.1895
91.677, 1.1895
91.694, 1.1895
91.694, 1.1895
91.711, 1.1895
91.711, 1.1895
91.728, 1.1895
91.745, 1.1895
91.745, 1.1895
91.762, 1.1895
91.779, 1.1895
91.779, 1.1895
91.796, 1.1895
91.813, 1.1895
91.813, 1.1895
91.83, 1.18949
91.83, 1.18949
91.847, 1.18945
91.864, 1.18932
91.864, 1.18932
91.881, 1.18911
91.898, 1.18877
91.898, 1.18877
