q0,q1,v0,v1,v_max,a_max,j_max,dt
29.749,19.215,11.082,39.828,-24.643,-887.953,8705.099,0.001
-29.494,-25.61,42.536,94.589,-176.401,-599.053,4162.059,0.001
13.971,28.786,97.375,-17.305,156.835,198.634,-8901.407,0.001
-24.923,13.185,-3.077,-53.034,196.449,362.19,4733.452,0.001
8.001,27.991,49.265,-67.851,-144.072,452.017,-9382.938,0.01
18.305,-9.122,6.617,-72.626,81.463,-244.186,-4653.29,0.001
19.798,5.876,98.224,-74.473,73.473,769.133,4394.721,0.001
4.033,-1.007,-75.455,20.814,172.687,-710.099,-7203.826,0.001
-14.398,19.845,90.322,93.041,-86.4,473.529,9534.794,0.001
17.072,-25.717,-73.529,-64.579,-19.342,97.134,4594.596,0.01
-19.848,-2.144,-75.81,-88.574,150.629,-282.388,4841.042,0.001
-13.545,-17.494,82.74,39.817,-120.869,-466.267,760.747,0.001
-29.706,11.927,89.679,-77.073,28.95,748.472,5792.467,0.001
-6.146,13.917,32.88,-47.128,-39.584,429.514,8173.518,0.001
-28.407,-25.173,12.144,-97.019,-35.172,-497.059,9528.429,0.001
21.282,-6.073,-68.553,-83.17,-124.447,-98.215,2480.489,0.001
-17.707,25.352,39.329,-23.16,79.127,-927.977,3631.642,0.001
21.621,-3.812,-17.551,76.994,81.344,-596.381,-3539.734,0.01
-26.633,-15.761,16.832,86.65,156.494,101.971,-904.182,0.001
-16.59,-16.27,97.706,-62.827,-135.242,-923.167,5952.641,0.001
-27.284,-13.718,-96.483,0.518,-93.711,745.595,5670.771,0.001
15.06,18.604,24.361,-73.223,-32.138,61.448,1768.289,0.001
11.884,-3.364,-71.88,-32.123,180.657,977.307,6058.33,0.001
25.128,24.609,60.728,16.652,87.387,1.45,7592.912,0.001
24.536,-3.284,-83.7,-57.508,-148.321,-897.078,6214.14,0.001
18.332,-5.154,-34.028,-27.318,165.827,536.636,9849.823,0.001
29.981,5.423,-48.617,61.895,-125.926,-483.394,1472.529,0.01
18.046,-3.366,-85.206,-92.549,-83.311,-534.841,-27.008,0.001
-10.625,-25.619,-45.526,94.951,51.015,-786.91,-9320.991,0.001
-28.492,-3.1,1.99,64.691,-174.245,-146.94,6009.423,0.001
13.97,24.463,-20.349,-39.703,135.832,-256.956,7693.32,0.01
-1.633,0.071,-99.088,15.051,155.261,106.792,1204.235,0.01
-6.445,-20.033,-74.232,-1.831,178.945,-733.662,-5967.966,0.001
21.601,-18.456,83.686,-19.429,-58.437,-567.083,796.09,0.001
-26.553,1.709,-45.045,-99.538,-25.458,823.795,689.136,0.001
-6.927,24.853,50.389,-35.052,110.285,541.202,-6889.588,0.001
-21.49,-27.852,95.7,-27.806,97.57,-115.301,-3025.448,0.001
-27.26,-20.173,14.67,41.644,105.247,554.359,-9158.272,0.001
11.88,-20.649,-4.112,88.295,20.3,721.879,2793.995,0.01
24.811,-0.696,-76.237,-50.021,113.381,-245.435,9502.226,0.001
-6.987,-7.139,10.094,16.553,136.8,-631.815,23.261,0.001
-15.414,16.261,39.972,52.371,7.52,231.516,5501.983,0.001
24.426,-21.544,41.485,93.121,-9.161,634.041,-7509.073,0.001
12.121,10.22,-51.609,48.25,-24.044,-139.104,-1064.86,0.001
23.739,4.507,-1.746,-99.028,85.674,19.79,1026.035,0.001
26.879,19.141,10.666,-44.75,101.011,450.298,-495.727,0.001
26.202,6.438,-11.861,-76.33,122.945,-712.996,-4160.058,0.01
29.808,13.846,33.659,-73.487,171.967,-1.149,1614.861,0.001
-6.184,14.626,86.821,-23.768,-15.278,-538.994,1498.167,0.001
9.596,7.156,30.448,44.199,190.32,-610.233,8653.082,0.001
19.377,-15.116,-66.56,14.904,28.489,-146.642,5852.889,0.01
7.342,-21.311,-51.991,82.873,-59.473,-193.678,-8116.079,0.001
12.031,-0.863,-22.934,33.647,-147.29,494.259,5323.974,0.001
-0.629,-6.914,-35.866,-12.812,8.807,159.659,3220.222,0.001
0.529,-27.142,15.547,97.646,-168.478,870.717,8422.365,0.001
16.783,-28.008,97.441,-53.344,30.487,-387.275,-4701.139,0.001
-27.571,7.871,-46.311,-54.664,190.125,370.8,-960.061,0.01
24.061,-11.434,15.615,-16.248,178.859,-36.782,9909.226,0.001
13.923,-18.738,-41.574,-60.784,-159.41,363.882,-5519.633,0.001
6.947,15.951,83.668,-72.372,-30.958,-470.034,-424.024,0.001
15.312,6.647,-77.123,-48.534,65.781,110.143,-4288.339,0.001
-12.932,13.199,-5.127,-42.649,123.691,178.492,3003.717,0.001
-17.625,5.644,59.83,-17.597,144.639,909.133,8273.212,0.001
9.131,13.368,65.166,-59.001,106.747,719.946,6547.977,0.01
25.688,24.528,-25.219,-32.095,136.969,-114.885,9952.891,0.001
18.275,-22.376,-41.68,0.685,102.484,537.464,4275.203,0.001
-8.974,15.601,-25.088,84.152,26.838,98.375,-5518.253,0.001
-13.789,-24.682,97.346,84.93,40.07,-570.258,-5417.563,0.001
14.677,10.963,-13.34,-14.177,-150.937,211.521,5728.692,0.001
13.38,24.547,63.087,-18.067,-66.237,-758.774,1004.734,0.001
21.404,-20.75,-87.149,99.188,188.492,227.691,7162.741,0.001
25.13,26.354,-14.449,92.545,4.557,-921.647,-2912.718,0.001
-13.86,26.491,-96.011,63.948,-71.833,449.427,-1011.117,0.001
11.289,-3.811,-23.696,31.728,21.186,-332.555,4865.372,0.001
7.08,-15.246,-17.205,-97.019,-62.297,543.013,-873.596,0.001
